Split #,Precision,Recall,F1
0,0.02334912156940621,0.1140549672421608,0.03876279547086768
1,0.027625688200779625,0.1360171412089497,0.04592400591646643
2,0.038266662690788815,0.14771931270344885,0.060786573828008846
3,0.03366323818310503,0.13881906959495655,0.054186420211226306
4,0.08101056277219264,0.1795780451623537,0.11165275884805018
